time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,0,0,0,0
2026-04-12 00:00:00+00:00,0,0,0,0
2026-04-13 00:00:00+00:00,67,43,1,1
2026-04-14 00:00:00+00:00,24,14,0,0
2026-04-15 00:00:00+00:00,24,9,1,1
2026-04-16 00:00:00+00:00,13,8,0,0
2026-04-17 00:00:00+00:00,38,16,0,0
2026-04-18 00:00:00+00:00,42,26,1,1
2026-04-19 00:00:00+00:00,34,19,3,2
2026-04-20 00:00:00+00:00,70,23,1,1
2026-04-21 00:00:00+00:00,344,93,53,3
2026-04-22 00:00:00+00:00,80,21,45,5
2026-04-23 00:00:00+00:00,129,38,44,6
2026-04-24 00:00:00+00:00,65,15,4,3
