time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,0,0,0,0
2026-04-05 00:00:00+00:00,0,0,0,0
2026-04-06 00:00:00+00:00,0,0,0,0
2026-04-07 00:00:00+00:00,0,0,0,0
2026-04-08 00:00:00+00:00,0,0,0,0
2026-04-09 00:00:00+00:00,0,0,0,0
2026-04-10 00:00:00+00:00,0,0,0,0
2026-04-11 00:00:00+00:00,0,0,0,0
2026-04-12 00:00:00+00:00,0,0,0,0
2026-04-13 00:00:00+00:00,67,43,1,1
2026-04-14 00:00:00+00:00,24,14,0,0
2026-04-15 00:00:00+00:00,24,9,1,1
2026-04-16 00:00:00+00:00,13,8,0,0
2026-04-17 00:00:00+00:00,38,16,0,0
2026-04-18 00:00:00+00:00,42,26,1,1
2026-04-19 00:00:00+00:00,34,19,3,2
2026-04-20 00:00:00+00:00,70,23,1,1
2026-04-21 00:00:00+00:00,344,93,53,3
2026-04-22 00:00:00+00:00,80,21,45,5
2026-04-23 00:00:00+00:00,129,38,44,6
2026-04-24 00:00:00+00:00,65,15,4,3
2026-04-25 00:00:00+00:00,10,7,0,0
2026-04-26 00:00:00+00:00,17,5,1,1
2026-04-27 00:00:00+00:00,4,3,1,1
2026-04-28 00:00:00+00:00,1,1,0,0
2026-04-29 00:00:00+00:00,5,3,0,0
2026-04-30 00:00:00+00:00,38,13,1,1
2026-05-01 00:00:00+00:00,18,5,2,1
2026-05-02 00:00:00+00:00,4,3,0,0
2026-05-03 00:00:00+00:00,2,2,2,2
2026-05-04 00:00:00+00:00,2,2,0,0
2026-05-05 00:00:00+00:00,1,1,0,0
2026-05-06 00:00:00+00:00,0,0,0,0
2026-05-07 00:00:00+00:00,0,0,0,0
2026-05-08 00:00:00+00:00,0,0,0,0
2026-05-09 00:00:00+00:00,3,3,1,1
2026-05-10 00:00:00+00:00,9,6,0,0
2026-05-11 00:00:00+00:00,16,8,0,0
2026-05-12 00:00:00+00:00,1,1,3,1
2026-05-13 00:00:00+00:00,6,1,0,0
2026-05-14 00:00:00+00:00,0,0,3,3
2026-05-15 00:00:00+00:00,6,3,0,0
2026-05-16 00:00:00+00:00,0,0,0,0
2026-05-17 00:00:00+00:00,2,1,0,0
2026-05-18 00:00:00+00:00,2,2,0,0
2026-05-19 00:00:00+00:00,1,1,0,0
2026-05-20 00:00:00+00:00,0,0,0,0
2026-05-21 00:00:00+00:00,1,1,1,1
2026-05-22 00:00:00+00:00,1,1,0,0
