time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,19,10,3,2
2026-04-26 00:00:00+00:00,101,14,8,6
2026-04-27 00:00:00+00:00,0,0,5,4
2026-04-28 00:00:00+00:00,72,3,1,1
2026-04-29 00:00:00+00:00,74,5,0,0
2026-04-30 00:00:00+00:00,148,7,1,1
2026-05-01 00:00:00+00:00,145,7,2,2
2026-05-02 00:00:00+00:00,72,3,0,0
2026-05-03 00:00:00+00:00,145,7,0,0
2026-05-04 00:00:00+00:00,1,1,1,1
2026-05-05 00:00:00+00:00,1,1,0,0
2026-05-06 00:00:00+00:00,1,1,3,1
2026-05-07 00:00:00+00:00,0,0,2,2
2026-05-08 00:00:00+00:00,0,0,3,3
