time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-16 00:00:00+00:00,0,0,0,0
2026-03-17 00:00:00+00:00,0,0,0,0
2026-03-18 00:00:00+00:00,0,0,0,0
2026-03-19 00:00:00+00:00,0,0,0,0
2026-03-20 00:00:00+00:00,0,0,0,0
2026-03-21 00:00:00+00:00,0,0,0,0
2026-03-22 00:00:00+00:00,0,0,0,0
2026-03-23 00:00:00+00:00,0,0,0,0
2026-03-24 00:00:00+00:00,0,0,0,0
2026-03-25 00:00:00+00:00,0,0,0,0
2026-03-26 00:00:00+00:00,0,0,0,0
2026-03-27 00:00:00+00:00,0,0,0,0
2026-03-28 00:00:00+00:00,0,0,0,0
2026-03-29 00:00:00+00:00,122,16,0,0
2026-03-30 00:00:00+00:00,5,5,0,0
2026-03-31 00:00:00+00:00,0,0,0,0
2026-04-01 00:00:00+00:00,0,0,0,0
2026-04-02 00:00:00+00:00,2,2,0,0
2026-04-03 00:00:00+00:00,1,1,0,0
2026-04-04 00:00:00+00:00,84,17,12,2
2026-04-05 00:00:00+00:00,1,1,0,0
2026-04-06 00:00:00+00:00,4,4,0,0
2026-04-07 00:00:00+00:00,1,1,0,0
2026-04-08 00:00:00+00:00,1,1,0,0
2026-04-09 00:00:00+00:00,0,0,0,0
2026-04-10 00:00:00+00:00,0,0,0,0
2026-04-11 00:00:00+00:00,312,11,2,1
2026-04-12 00:00:00+00:00,32,4,0,0
2026-04-13 00:00:00+00:00,2,2,0,0
2026-04-14 00:00:00+00:00,1,1,0,0
2026-04-15 00:00:00+00:00,4,4,0,0
2026-04-16 00:00:00+00:00,1,1,0,0
2026-04-17 00:00:00+00:00,92,1,0,0
2026-04-18 00:00:00+00:00,374,14,0,0
2026-04-19 00:00:00+00:00,23,2,0,0
2026-04-20 00:00:00+00:00,0,0,0,0
2026-04-21 00:00:00+00:00,2,2,0,0
2026-04-22 00:00:00+00:00,28,2,0,0
2026-04-23 00:00:00+00:00,20,3,0,0
2026-04-24 00:00:00+00:00,20,1,0,0
2026-04-25 00:00:00+00:00,314,20,0,0
2026-04-26 00:00:00+00:00,223,9,0,0
2026-04-27 00:00:00+00:00,100,1,0,0
2026-04-28 00:00:00+00:00,2,2,0,0
2026-04-29 00:00:00+00:00,2,2,0,0
2026-04-30 00:00:00+00:00,103,4,0,0
2026-05-01 00:00:00+00:00,1,1,0,0
2026-05-02 00:00:00+00:00,307,18,0,0
2026-05-03 00:00:00+00:00,2,2,0,0
2026-05-04 00:00:00+00:00,2,2,0,0
2026-05-05 00:00:00+00:00,2,1,0,0
2026-05-06 00:00:00+00:00,1,1,0,0
2026-05-07 00:00:00+00:00,0,0,0,0
2026-05-08 00:00:00+00:00,0,0,0,0
2026-05-09 00:00:00+00:00,158,11,0,0
2026-05-10 00:00:00+00:00,2,2,0,0
2026-05-11 00:00:00+00:00,0,0,0,0
2026-05-12 00:00:00+00:00,0,0,0,0
2026-05-13 00:00:00+00:00,1,1,0,0
2026-05-14 00:00:00+00:00,0,0,0,0
2026-05-15 00:00:00+00:00,0,0,0,0
2026-05-16 00:00:00+00:00,838,23,0,0
2026-05-17 00:00:00+00:00,2,2,0,0
2026-05-18 00:00:00+00:00,0,0,0,0
2026-05-19 00:00:00+00:00,1,1,0,0
2026-05-20 00:00:00+00:00,0,0,0,0
2026-05-21 00:00:00+00:00,32,3,0,0
2026-05-22 00:00:00+00:00,2,2,0,0
2026-05-23 00:00:00+00:00,285,12,0,0
2026-05-24 00:00:00+00:00,204,8,0,0
2026-05-25 00:00:00+00:00,72,2,0,0
2026-05-26 00:00:00+00:00,92,3,0,0
2026-05-27 00:00:00+00:00,0,0,0,0
2026-05-28 00:00:00+00:00,0,0,0,0
2026-05-29 00:00:00+00:00,0,0,0,0
2026-05-30 00:00:00+00:00,207,11,0,0
2026-05-31 00:00:00+00:00,3,3,0,0
2026-06-01 00:00:00+00:00,0,0,0,0
2026-06-02 00:00:00+00:00,1,1,0,0
2026-06-03 00:00:00+00:00,1,1,0,0
2026-06-04 00:00:00+00:00,0,0,0,0
2026-06-05 00:00:00+00:00,1,1,0,0
2026-06-06 00:00:00+00:00,251,15,0,0
2026-06-07 00:00:00+00:00,2,2,0,0
2026-06-08 00:00:00+00:00,1,1,0,0
2026-06-09 00:00:00+00:00,0,0,0,0
2026-06-10 00:00:00+00:00,123,1,0,0
2026-06-11 00:00:00+00:00,2,2,0,0
2026-06-12 00:00:00+00:00,2,2,0,0
2026-06-13 00:00:00+00:00,300,11,0,0
2026-06-14 00:00:00+00:00,126,5,0,0
2026-06-15 00:00:00+00:00,150,4,0,0
2026-06-16 00:00:00+00:00,0,0,0,0
2026-06-17 00:00:00+00:00,4,3,0,0
2026-06-18 00:00:00+00:00,154,4,0,0
2026-06-19 00:00:00+00:00,156,5,0,0
2026-06-20 00:00:00+00:00,457,18,0,0
2026-06-21 00:00:00+00:00,2,2,0,0
2026-06-22 00:00:00+00:00,1,1,0,0
2026-06-23 00:00:00+00:00,155,4,0,0
2026-06-24 00:00:00+00:00,160,5,0,0
2026-06-25 00:00:00+00:00,5,2,0,0
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,307,12,0,0
2026-06-28 00:00:00+00:00,2,2,0,0
2026-06-29 00:00:00+00:00,1,1,0,0
2026-06-30 00:00:00+00:00,2,2,0,0
2026-07-01 00:00:00+00:00,1,1,0,0
2026-07-02 00:00:00+00:00,1,1,0,0
2026-07-03 00:00:00+00:00,0,0,0,0
2026-07-04 00:00:00+00:00,193,11,0,0
2026-07-05 00:00:00+00:00,1,1,0,0
2026-07-06 00:00:00+00:00,2,2,0,0
2026-07-07 00:00:00+00:00,0,0,0,0
2026-07-08 00:00:00+00:00,0,0,0,0
2026-07-09 00:00:00+00:00,6,1,0,0
2026-07-10 00:00:00+00:00,0,0,0,0
2026-07-11 00:00:00+00:00,38,5,0,0
2026-07-12 00:00:00+00:00,1,1,0,0
2026-07-13 00:00:00+00:00,0,0,0,0
2026-07-14 00:00:00+00:00,0,0,0,0
2026-07-15 00:00:00+00:00,1,1,0,0
2026-07-16 00:00:00+00:00,0,0,0,0
2026-07-17 00:00:00+00:00,0,0,0,0
2026-07-18 00:00:00+00:00,109,9,0,0
2026-07-19 00:00:00+00:00,1,1,0,0
2026-07-20 00:00:00+00:00,0,0,0,0
2026-07-21 00:00:00+00:00,1,1,0,0
2026-07-22 00:00:00+00:00,0,0,0,0
2026-07-23 00:00:00+00:00,0,0,0,0
2026-07-24 00:00:00+00:00,1,1,0,0
2026-07-25 00:00:00+00:00,5,5,0,0
2026-07-26 00:00:00+00:00,1,1,0,0
2026-07-27 00:00:00+00:00,0,0,0,0
2026-07-28 00:00:00+00:00,0,0,0,0
2026-07-29 00:00:00+00:00,1,1,0,0
2026-07-30 00:00:00+00:00,0,0,0,0
2026-07-31 00:00:00+00:00,0,0,0,0
2026-08-01 00:00:00+00:00,4,4,2,1
2026-08-02 00:00:00+00:00,1,1,0,0
2026-08-03 00:00:00+00:00,1,1,0,0
2026-08-04 00:00:00+00:00,0,0,0,0
2026-08-05 00:00:00+00:00,0,0,1,1
2026-08-06 00:00:00+00:00,2,2,0,0
2026-08-07 00:00:00+00:00,0,0,0,0
