time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-23 00:00:00+00:00,0,0,0,0
2026-08-24 00:00:00+00:00,0,0,0,0
2026-08-25 00:00:00+00:00,0,0,0,0
2026-08-26 00:00:00+00:00,0,0,0,0
2026-08-27 00:00:00+00:00,0,0,0,0
2026-08-28 00:00:00+00:00,0,0,0,0
2026-08-29 00:00:00+00:00,0,0,0,0
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,0,0,0,0
2026-09-01 00:00:00+00:00,0,0,0,0
2026-09-02 00:00:00+00:00,0,0,0,0
2026-09-03 00:00:00+00:00,0,0,0,0
2026-09-04 00:00:00+00:00,0,0,0,0
2026-09-05 00:00:00+00:00,30,13,3,1
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,1,1,0,0
2026-09-08 00:00:00+00:00,0,0,0,0
2026-09-09 00:00:00+00:00,0,0,0,0
2026-09-10 00:00:00+00:00,0,0,0,0
2026-09-11 00:00:00+00:00,12,4,0,0
2026-09-12 00:00:00+00:00,3,3,0,0
2026-09-13 00:00:00+00:00,1,1,0,0
2026-09-14 00:00:00+00:00,2,2,0,0
2026-09-15 00:00:00+00:00,1,1,0,0
2026-09-16 00:00:00+00:00,1,1,0,0
2026-09-17 00:00:00+00:00,0,0,0,0
2026-09-18 00:00:00+00:00,0,0,0,0
