time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-21 00:00:00+00:00,0,0,0,0
2026-03-22 00:00:00+00:00,0,0,0,0
2026-03-23 00:00:00+00:00,0,0,0,0
2026-03-24 00:00:00+00:00,0,0,0,0
2026-03-25 00:00:00+00:00,0,0,0,0
2026-03-26 00:00:00+00:00,0,0,0,0
2026-03-27 00:00:00+00:00,0,0,0,0
2026-03-28 00:00:00+00:00,2,1,0,0
2026-03-29 00:00:00+00:00,0,0,0,0
2026-03-30 00:00:00+00:00,0,0,0,0
2026-03-31 00:00:00+00:00,0,0,0,0
2026-04-01 00:00:00+00:00,0,0,0,0
2026-04-02 00:00:00+00:00,97,66,8,1
2026-04-03 00:00:00+00:00,2,2,0,0
2026-04-04 00:00:00+00:00,19,7,0,0
2026-04-05 00:00:00+00:00,1,1,0,0
2026-04-06 00:00:00+00:00,2,2,0,0
2026-04-07 00:00:00+00:00,1,1,0,0
2026-04-08 00:00:00+00:00,1,1,2,1
2026-04-09 00:00:00+00:00,1,1,0,0
2026-04-10 00:00:00+00:00,0,0,0,0
2026-04-11 00:00:00+00:00,0,0,0,0
2026-04-12 00:00:00+00:00,88,33,1,1
2026-04-13 00:00:00+00:00,8,5,0,0
2026-04-14 00:00:00+00:00,32,16,0,0
2026-04-15 00:00:00+00:00,2,2,0,0
2026-04-16 00:00:00+00:00,2,2,0,0
2026-04-17 00:00:00+00:00,1,1,0,0
